date,symbol,isin,series,close
2026-09-04,AMRUTANJAN,INE098F01031,EQ,505.45
2026-09-04,ARSSBL,INE549H01021,EQ,515.05
2026-09-04,ANANDRATHI,INE463V01026,EQ,2215.9
2026-09-04,ANANTRAJ,INE242C01024,EQ,625.45
2026-09-04,ACL,INE666E01020,EQ,43.36
2026-09-04,ANDHRAPAP,INE435A01051,EQ,64.45
2026-09-04,ANDHRSUGAR,INE715B01021,EQ,99.51
2026-09-04,ANDREWYU,INE449C01025,EQ,27.93
2026-09-04,ANGELONE,INE732I01021,EQ,299.8
2026-09-04,ANIKINDS,INE087B01017,EQ,45.0
2026-09-04,APCL,INE071F01012,EQ,101.42
2026-09-04,ANKITMETAL,INE106I01010,BZ,1.7
2026-09-04,AHCL,INE0Y8W01025,EQ,15.68
2026-09-04,ANMOL,INE02AR01019,EQ,10.08
2026-09-04,ANNAPURNA,INE0MGM01017,EQ,140.2
2026-09-04,ANNU,INE103001017,BE,68.23
2026-09-04,ANSALBU,INE030C01015,EQ,80.68
2026-09-04,ANSALAPI,INE436A01026,BZ,3.31
2026-09-04,ANTGRAPHIC,INE414B01021,EQ,0.73
2026-09-04,ANTELOPUS,INE818A01017,EQ,957.15
2026-09-04,ANTHEM,INE0CZ201020,EQ,934.05
2026-09-04,AWHCL,INE01BK01022,EQ,370.8
2026-09-04,ANUHPHR,INE489G01022,EQ,81.1
2026-09-04,ANURAS,INE930P01018,EQ,1238.7
2026-09-04,APARINDS,INE372A01015,EQ,17421.0
2026-09-04,APCOTEXIND,INE116A01032,EQ,635.5
2026-09-04,APEX,INE346W01013,EQ,375.15
2026-09-04,APLAPOLLO,INE702C01027,EQ,2250.0
2026-09-04,APOLLOHOSP,INE437A01024,EQ,8650.0
2026-09-04,APOLLO,INE713T01028,EQ,388.9
2026-09-04,APOLLOPIPE,INE126J01016,EQ,605.1
2026-09-04,APOLSINHOT,INE451F01024,EQ,1218.1
2026-09-04,APOLLOTYRE,INE438A01022,EQ,429.55
2026-09-04,APTECHT,INE266F01018,BE,89.13
2026-09-04,APTUS,INE852O01025,EQ,258.85
2026-09-04,AQYLON,INE416A01051,EQ,22.46
2026-09-04,ACI,INE128X01021,EQ,504.2
2026-09-04,ADL,INE0CHO01012,EQ,72.0
2026-09-04,ARCHIDPLY,INE877I01016,EQ,104.89
2026-09-04,ARCHIES,INE731A01020,EQ,12.9
2026-09-04,ARCL,INE372M01010,EQ,225.0
2026-09-04,ARDEE,INE0XNF01022,EQ,55.66
2026-09-04,ARFIN,INE784R01023,EQ,87.24
2026-09-04,ARIES,INE298I01015,EQ,500.1
2026-09-04,ARIHANTCAP,INE420B01036,EQ,79.69
2026-09-04,ARIHANT,INE413D01011,EQ,953.15
2026-09-04,ARIHANTSUP,INE643K01018,EQ,229.5
2026-09-04,ARIS,INE0H9P01028,EQ,128.56
2026-09-04,ARKADE,INE0QRL01017,EQ,125.22
2026-09-04,ARMANFIN,INE109C01017,EQ,2069.3
2026-09-04,AROGRANITE,INE210C01013,EQ,24.55
2026-09-04,ARROWGREEN,INE570D01018,BE,814.1
2026-09-04,ARSHIYA,INE968D01022,BZ,0.73
2026-09-04,ARTNIRMAN,INE738V01013,EQ,40.63
2026-09-04,AEPL,INE757T01025,EQ,17.5
2026-09-04,ARTEMISMED,INE025R01021,EQ,332.8
2026-09-04,ARVEE,INE006Z01016,EQ,165.1
2026-09-04,ARVINDFASN,INE955V01021,EQ,446.5
2026-09-04,ARVIND,INE034A01011,EQ,552.95
2026-09-04,ARVSMART,INE034S01021,EQ,642.5
2026-09-04,ARYAMAN,INE032E01017,EQ,620.2
2026-09-04,ASAHIINDIA,INE439A01020,EQ,955.9
2026-09-04,ASAHISONG,INE228I01012,BE,372.65
2026-09-04,ASHAPURMIN,INE348A01023,EQ,551.0
2026-09-04,ASHIANA,INE365D01021,EQ,359.55
2026-09-04,ASHIKAG,INE094B01013,BE,426.85
2026-09-04,ASHIMASYN,INE440A01010,EQ,17.89
2026-09-04,ASHOKLEY,INE208A01029,EQ,169.0
2026-09-04,ASHOKA,INE442H01029,EQ,115.55
2026-09-04,ASHOKAMET,INE760Y01011,EQ,13.58
2026-09-04,ASIANENE,INE276G01015,EQ,517.45
2026-09-04,ASIANTILES,INE022I01019,EQ,50.26
2026-09-04,AHLEAST,INE926K01017,EQ,136.51
2026-09-04,ASIANHOTNR,INE363A01022,EQ,384.75
2026-09-04,AHLWEST,INE915K01010,BE,530.85
2026-09-04,ASIANPAINT,INE021A01026,EQ,2527.3
