symbol,mis_margin_percent,listed_mis_multiplier
JAMNAAUTO,20.0,5.0
JARO,20.0,5.0
JASH,20.0,5.0
JAYBARMARU,20.0,5.0
JAYKAY,20.0,5.0
JAYNECOIND,20.0,5.0
JAYSREETEA,20.0,5.0
JBMA,20.0,5.0
JGCHEM,20.0,5.0
JINDALPOLY,20.0,5.0
JINDALSAW,20.0,5.0
JINDALSTEL,20.0,5.0
JINDRILL,20.0,5.0
JINDWORLD,20.0,5.0
JIOFIN,20.0,5.0
JISLJALEQS,20.0,5.0
JITFINFRA,20.0,5.0
JKCEMENT,20.0,5.0
JKIL,20.0,5.0
JKLAKSHMI,20.0,5.0
JKPAPER,20.0,5.0
JKTYRE,20.0,5.0
JLHL,20.0,5.0
JMFINANCIL,20.0,5.0
JNKINDIA,20.0,5.0
JNPR,20.0,5.0
JPOLYINVST,20.0,5.0
JPPOWER,20.0,5.0
JSFB,20.0,5.0
JSL,20.0,5.0
JSLL,20.0,5.0
JSWCEMENT,20.0,5.0
JSWDULUX,20.0,5.0
JSWENERGY,20.0,5.0
JSWHL,20.0,5.0
JSWINFRA,20.0,5.0
JSWSTEEL,20.0,5.0
JTEKTINDIA,20.0,5.0
JTLIND,20.0,5.0
JUBLCPL,20.0,5.0
JUBLFOOD,20.0,5.0
JUBLINGREA,20.0,5.0
JUBLPHARMA,20.0,5.0
JUNIORBEES,20.0,5.0
JUNIPER,20.0,5.0
JUSTDIAL,20.0,5.0
JWL,20.0,5.0
JYOTHYLAB,20.0,5.0
JYOTICNC,20.0,5.0
JYOTIRES,20.0,5.0
JYOTISTRUC,20.0,5.0
KABRAEXTRU,20.0,5.0
KAJARIACER,20.0,5.0
KALAMANDIR,20.0,5.0
KALPATARU,20.0,5.0
KALYANKJIL,20.0,5.0
KAMATHOTEL,20.0,5.0
KANPRPLA,20.0,5.0
KANSAINER,20.0,5.0
KAPSTON,20.0,5.0
KARURVYSYA,20.0,5.0
KAYNES,20.0,5.0
KCP,20.0,5.0
KDDL,20.0,5.0
KEC,20.0,5.0
KECL,20.0,5.0
KEI,20.0,5.0
KELLTONTEC,20.0,5.0
KENNAMET,20.0,5.0
KERNEX,20.0,5.0
KFINTECH,20.0,5.0
KHAICHEM,20.0,5.0
KICL,20.0,5.0
KIMS,20.0,5.0
KINGFA,20.0,5.0
KIOCL,20.0,5.0
KIRIINDUS,20.0,5.0
KIRLFER,20.0,5.0
KIRLOSBROS,20.0,5.0
KIRLOSENG,20.0,5.0
KIRLOSIND,20.0,5.0
KIRLPNU,20.0,5.0
KISSHT,20.0,5.0
KITEX,20.0,5.0
KKCL,20.0,5.0
KLBRENG-B,20.0,5.0
KMCSHIL,20.0,5.0
KMEW,20.0,5.0
KMSUGAR,20.0,5.0
KNACK,20.0,5.0
KNRCON,20.0,5.0
KOHINOOR,20.0,5.0
KOLTEPATIL,20.0,5.0
KOTAKBANK,20.0,5.0
KOTHARIPET,20.0,5.0
KOVAI,20.0,5.0
KPEL,20.0,5.0
KPIGREEN,20.0,5.0
KPIL,20.0,5.0
KPITTECH,20.0,5.0
KPL,20.0,5.0
KPRMILL,20.0,5.0
KRBL,20.0,5.0
KRISHANA,20.0,5.0
KRISHIVAL,20.0,5.0
KRISHNADEF,20.0,5.0
KRN,20.0,5.0
KROSS,20.0,5.0
KRSNAA,20.0,5.0
KRYSTAL,20.0,5.0
KSB,20.0,5.0
KSCL,20.0,5.0
KSHINTL,20.0,5.0
KSL,20.0,5.0
KTKBANK,20.0,5.0
KUANTUM,20.0,5.0
KUSUMGAR,20.0,5.0
KWIL,20.0,5.0
LALITHAA,20.0,5.0
LALPATHLAB,20.0,5.0
LAMBODHARA,20.0,5.0
LANCORHOL,20.0,5.0
LANDMARK,20.0,5.0
LAOPALA,20.0,5.0
LASERPOWER,20.0,5.0
LATENTVIEW,20.0,5.0
LAURUSLABS,20.0,5.0
LAXMIDENTL,20.0,5.0
LAXMIINDIA,20.0,5.0
LCL,20.0,5.0
LEAPIND,20.0,5.0
LEMONTREE,20.0,5.0
LENSKART,20.0,5.0
LGBBROSLTD,20.0,5.0
LGEINDIA,20.0,5.0
LICHSGFIN,20.0,5.0
LICI,20.0,5.0
LICMFGOLD,20.0,5.0
LIKHITHA,20.0,5.0
LINCOLN,20.0,5.0
LINDEINDIA,20.0,5.0
LIQGRWBEES,20.0,5.0
LIQUID,20.0,5.0
LIQUID1,20.0,5.0
LIQUIDADD,20.0,5.0
LIQUIDBEES,20.0,5.0
LIQUIDBETF,20.0,5.0
LIQUIDCASE,20.0,5.0
LIQUIDETF,20.0,5.0
LIQUIDIETF,20.0,5.0
LIQUIDPLUS,20.0,5.0
LLOYDSENGG,20.0,5.0
LLOYDSENT,20.0,5.0
LLOYDSME,20.0,5.0
LMW,20.0,5.0
LODHA,20.0,5.0
LOWVOL1,20.0,5.0
LOWVOLIETF,20.0,5.0
LT,20.0,5.0
LTF,20.0,5.0
LTFOODS,20.0,5.0
LTGILTBEES,20.0,5.0
